영화 제목,review,rating,date
히트맨2,인간병기였던 웹툰작가인데 그냥 바보아저씨느낌이난다 진지함이라곤 전혀없어서 캐릭터설정을 잘못한 느낌이다 일본만화인 시티헌터 사에바료처럼 개그캐였다가도 진지함이있어야하는데 전혀 공감되지 않은 웃음만 전달하려는 느낌이다유튜브에나와서 홍보하길래 기대했는데 아쉬움이 많이남는다,2,2025.01.23. 10:07
히트맨2,진짜 이이경 권상우 미쳤냐고 ㅈㄴ웃었습니다ㅋㅋㅋ범죄도시 이후로 이렇게 웃은거처음입니다ㅋㅋ뭐라해야할까 그 잠들기전에 계속 웃음나오는 장면들 많습니다 연초 스트레스 확풀리네,10,2025.01.22. 11:20
히트맨2,아무 생각없이 본다면 추천.하지만 뻔한 유치함에 유쾌하진 않네요.딕션이 안좋은 배우가 부부로 나오니 두 사람이 같이 나오면 발음이 뭉개져 신경이 쓰였어요.,5,2025.01.22. 21:02
히트맨2,5년전이나 5년뒤인 지금이나 단 1도 안 웃긴건 여전한 클라스,1,2025.01.22. 20:38
히트맨2,권상우는 나이먹어도 러블리함ㅋㅋㅋ그냥 잘됐으면 좋겠음ㅋㅋㅋ,7,2025.01.22. 11:44
히트맨2,"유치하면서 재밌는 영화도 있는데, 이건 그냥 유치하기만 한 듯. 관객들이 꽤 들어 차 있었는데 상영관은 고요의 바다. 다만 황우슬혜와 딸 역할 아역 배우의 연기는 인상 깊었고, 권상우의 대사는 잘 들리지 않아서 자막이 필요해 보임",4,2025.01.22. 21:22
히트맨2,출연배우들 다 너무 좋아하는 배우들이라 기대하고 봤는데 역시나 재밌네요+!! 황우슬혜 배우님 출연하는 영화 오랜만에 봤는데 연기 정말 잘하십니당,10,2025.01.22. 11:11
히트맨2,코미디 영화를 엄청 좋아하는데이제 쫌 개그수준을 올려도 되지 않을까너무 옛날에 머무른 느낌이다,4,2025.01.22. 17:20
히트맨2,개인적으로 히트맨1 보다 훨씬재밌었습니다 기존에 캐릭터도 잘 살리고 영상미 타격감 전부다 훌륭하더라구요 너무 재밌게잘봤고 시사회에서 이미 관람했지만 한번 더 보려고합니다 요즘 어지러운 우리나라를 잠시 잊게 해주고 웃을 수 있게 해주었던 영화같아요,10,2025.01.22. 10:42
히트맨2,애니 신경쓰느라 실사 스토리가 빈약하네요,6,2025.01.23. 01:57
히트맨2,1편보다 많이 아쉽다 억지로 웃어라 하는데 안쓰러움,4,2025.01.22. 20:49
히트맨2,진짜 히트맨1 보면서도 엄청 웃었는데 ㅋㅋ 미친듯이 웃으면서 봄 ㅋㅋ 2 나오면 보통 1보다 아쉽던데 어케 했누 ㅋㅋ,10,2025.01.22. 10:44
히트맨2,욕설이 많은데 욕 대사가 거의 안 웃겨서 좀 아쉬웠어요,4,2025.01.22. 20:53
히트맨2,전편보다도 못한 속편.,5,2025.01.22. 21:54
히트맨2,재밌어서 생각보다 많이 웃고 나왔음전작 안보신분들도 볼 수 있을 것 같아오아무생각 없이 웃고 싶으면 추천ㄱㄱ,10,2025.01.22. 10:42
히트맨2,전편도 재밌었지만 후속편을 더 재미있게 보았어요 몰입감 최고 입니다 설에 가족과 함께 즐기는 영화로 추천드려요,10,2025.01.22. 10:26
히트맨2,히트맨2 ~~ 기대보다 더 재밌네요^^ 배우들 케미 보는 재미도 있어서 시간 가는줄 몰랐어요~ 간만에 많이 웃었네요^^ 설 연휴 영화로 추천합니다!,10,2025.01.22. 10:40
히트맨2,시즌1도 재미있었는데 2도 배우들의 액션과 코믹연기가 인상적었어요 국정원 차장님 이순원 배우님 많이 나오시지는 않는데 나오실 때마다 크게 웃었네요,10,2025.01.22. 12:57
히트맨2,영화관에서 재미 없으면 숙면하는 사람인데요시간 가는줄 모르고몰입해서 봤어요3편도 만들어주세요,10,2025.01.22. 11:18
히트맨2,재미있게 시간가는줄모르고 모르고 관람했어요연기천재들만 나와서 더 몰입해서봤어요히트맨3도 얼른 나왔으면좋겠어요,10,2025.01.22. 11:24
히트맨2,전작에 비해 많이 아쉬움 후반부에 들어서 잠시 볼만하려다 끝남...,5,2025.01.23. 15:46
히트맨2,외계에서온 우뢰매 2025ver.,5,2025.01.23. 07:14
히트맨2,안보 의식 철저한 멸공맨,3,2025.01.22. 12:52
히트맨2,1도 재밌게 봣는데 2는 진짜 더 재미짐 ㅋㅋㅋㅋ 계속 웃다 나왔네여 ㅋㅋㅋㅋ 설날에 가족들이랑 한번 더 볼예정ㅋㅋㅋ,10,2025.01.22. 10:44
