,영화 제목,review,rating,date,from_release,word2vec
80,히트맨2,설연휴에 가족들이랑 다같이 가볍게 즐기면서 볼수 있는 영화네요 재밌게 잘봤습니다~,10,2025.01.22. 11:33,12,"[-2.3619405e-03  1.1618909e-03  1.1348784e-04  1.0749355e-03
 -1.4701728e-03 -3.0817676e-03  2.9158113e-03  4.8448076e-03
 -1.7115630e-03 -4.1710428e-04  1.0019114e-03 -2.1921387e-03
  2.7954890e-04  1.2517762e-03  1.1117423e-03 -1.0573897e-03
 -3.8114106e-04  4.7129687e-04 -1.0360053e-03 -2.9781244e-03
  1.2506181e-03  2.5132103e-03  2.9307837e-03 -1.8564545e-03
  1.2375950e-03  5.1696855e-04 -2.1475261e-04 -4.5053114e-04
 -2.0711920e-03  1.2573864e-03  1.9303289e-03  7.1049441e-04
  1.4501124e-03 -3.5741271e-03 -2.4257498e-03  2.3967917e-03
  4.9677404e-04 -6.3590903e-04 -1.4524462e-03 -2.0897691e-03
  8.1745081e-04 -8.8770431e-04 -2.0935559e-03 -1.9585963e-03
  2.4721948e-03 -2.4399588e-04  1.4917066e-04  5.6792373e-06
  1.4492335e-03  2.0257568e-03  2.1160694e-04 -9.4246521e-04
 -1.3607054e-03  7.7185883e-05  6.4544904e-04  3.1082990e-04
  4.8358107e-04 -1.3271773e-03 -2.5008775e-03 -1.5128899e-03
 -3.7245860e-04 -1.6433563e-03  1.1394016e-03 -1.5061164e-03
 -2.0517530e-03  2.4730202e-03  3.0155480e-04  1.6670974e-03
 -3.1904569e-03  3.7413272e-03 -4.0631706e-04  1.1566249e-03
  2.9472029e-03 -5.9826369e-04  1.1719408e-03  1.2454223e-03
 -3.2873085e-04 -1.3018344e-03 -1.5734548e-03  2.6997312e-03
 -2.4338460e-03  3.0540655e-04 -3.4251222e-03  9.5877651e-04
 -1.6584380e-03 -1.6069401e-03  7.7385962e-04  1.4225109e-03
  6.7862909e-04  1.0505166e-03  3.5858783e-03 -6.5012420e-05
  2.7537279e-04 -2.6172365e-03  4.4283606e-03  3.9766650e-03
  3.6871593e-04 -8.1361062e-04 -8.8535104e-04 -2.6407588e-04]"
81,히트맨2,나쁘지 않게 관람했습니다.호불호 심하게 갈릴 것 같네요.,7,2025.01.23. 11:26,35,"[-5.7644991e-04  1.1304404e-03  3.3479364e-04 -1.9855525e-03
  3.1883342e-03 -2.3019433e-03  2.1450075e-03  3.0395223e-03
 -9.6256094e-04 -1.5589605e-03  1.6810964e-03 -1.7555266e-03
 -1.3570274e-03 -1.9443308e-03  3.7481918e-04  7.3200092e-04
  2.2188604e-03 -5.8997466e-05 -1.0890717e-03 -4.1282019e-03
 -1.6649476e-03  1.0893610e-03  6.6888598e-03  4.6348209e-03
 -2.7501562e-03  9.4617080e-06 -2.3055445e-04 -2.7036299e-03
  9.9411106e-04 -2.0148789e-03  4.6497737e-03  5.0396746e-04
 -1.2387805e-04 -2.3637833e-03 -7.3997607e-04  4.3771756e-03
  4.1125165e-04 -4.0102078e-04 -2.6863536e-03 -4.3311258e-04
  1.1105400e-03 -1.7741970e-03  1.7484372e-03 -3.2789409e-03
  8.0300978e-04  3.9198627e-03 -2.6141587e-03 -4.8897456e-04
 -2.0571200e-03  1.5770226e-04 -2.2020987e-04 -5.1563596e-03
 -1.4580160e-03 -2.2027262e-03 -3.3708357e-03 -2.8209895e-04
  8.8503264e-04 -1.0558548e-04 -2.1443220e-03  5.9525756e-04
  1.4932401e-03  7.1059965e-04  2.8091480e-03 -1.1742179e-03
 -7.1954407e-04 -8.9985173e-04  3.7275476e-04  1.7755154e-03
 -3.4680867e-03  7.6247077e-04 -2.0965713e-03  2.0968965e-03
  8.3139125e-04  1.2562382e-03  1.2676750e-05 -9.8305277e-04
 -2.7402473e-05 -3.2796263e-04 -2.4261160e-03  2.0396190e-03
 -9.9626521e-04  5.5384444e-04 -6.0970988e-04  1.4297948e-03
  3.2703302e-04 -5.0645863e-04  2.6367398e-03  2.2862160e-03
 -2.5880893e-03 -5.6828681e-04  2.0475464e-03  2.0402400e-03
 -1.3614832e-03 -1.6229399e-03  4.2860252e-03  1.0347877e-03
  4.1524628e-03 -2.1090063e-03 -2.0027759e-03 -2.5284168e-04]"
83,히트맨2,스포일러가 포함된 감상평입니다. 감상평보기,7,2025.01.22. 23:56,24,"[-1.8576478e-03 -4.3511136e-05  1.7706699e-03 -1.1408555e-04
  2.1513959e-03 -1.1159065e-03  1.5446402e-03  4.8944517e-03
 -1.5483353e-04 -1.6600591e-03 -2.0170922e-03 -7.5246771e-03
 -2.7579805e-03  1.3680230e-03  3.1907985e-03  1.5139009e-03
 -2.6082878e-03 -2.0418612e-03  2.7201984e-05 -5.2630827e-03
  5.4926169e-04  4.1836998e-03  2.0792461e-03  2.5176194e-03
 -2.3016063e-03 -3.7835259e-04  4.1260698e-04  1.0493515e-03
 -1.2234324e-03 -2.1932221e-03  3.3262519e-03 -2.0133478e-03
  2.3954632e-03 -1.7157703e-03 -1.2336917e-03  2.9219429e-03
  4.6835858e-03 -3.2171758e-03 -2.1862625e-03 -1.4557999e-03
  1.0021386e-03 -2.4922842e-03 -1.4265855e-03  2.5991495e-03
  3.5341396e-03  3.9229584e-03 -2.5024631e-03 -3.5958416e-03
  1.6175541e-04  7.1206130e-04 -2.4776149e-03 -1.0405912e-03
 -1.0978708e-03  1.1708837e-03  1.2958787e-03  5.7553133e-04
  1.7637428e-03  1.5853564e-03  1.8799924e-03  4.2965482e-03
 -9.1775997e-05  2.3355915e-03  4.9281609e-04  5.1123177e-04
 -4.0680822e-03  6.1234881e-05  9.5571222e-04  6.8204058e-03
  2.1959909e-03  3.1707243e-03  1.6723898e-03 -7.0462498e-04
  1.6084104e-03  1.1777561e-03  2.3275847e-03 -2.6412134e-03
 -1.5272655e-03 -2.3428351e-03 -1.8537055e-03 -1.8645297e-03
 -1.9165651e-03  1.2835679e-03 -5.9491111e-04  2.9300950e-03
 -1.3171620e-04  6.0712998e-03 -1.0713447e-03  1.5547063e-03
  2.1602211e-03 -3.4399016e-03  1.6182807e-03 -2.4313708e-03
  5.7547394e-04  1.0444785e-03  3.6495493e-03  3.0478134e-03
 -3.1932743e-04 -3.5367943e-03  1.3677366e-03 -2.8362281e-03]"
84,히트맨2,황우슬혜만 매력적임..,2,2025.01.23. 13:27,37,"[-1.3710372e-03 -5.5745349e-04  1.2584222e-03  1.0627701e-03
 -1.1796122e-03 -1.7890173e-03  5.8304926e-04  6.6260034e-03
 -3.2936348e-04 -3.4139063e-03 -6.4841780e-04 -3.6857929e-03
  1.1129270e-03  1.4807425e-03  1.2984709e-03  5.5919513e-03
  1.2326764e-03 -2.0275954e-03 -8.0389531e-05 -4.8815552e-04
 -2.7417747e-04  2.3063894e-04  1.8079467e-03 -3.8288762e-03
 -2.4494636e-03  4.5524244e-03 -7.7328493e-04 -2.5137252e-04
 -2.7934430e-04 -4.4208533e-05 -8.2336555e-05  2.1883547e-04
  3.4968317e-03  5.0977701e-03  2.2842640e-03  5.4668952e-03
  2.7161627e-03  3.2250234e-03 -3.7087046e-03 -8.2333246e-04
 -3.3818046e-04  1.5840356e-03 -6.1095045e-03  2.1815058e-04
 -1.4462856e-03 -4.3025441e-03 -4.9009793e-03 -9.4406557e-04
 -2.2731642e-03 -3.8054594e-04  9.2189928e-04  2.5307282e-03
  6.0170138e-04 -2.3933896e-03  2.3831748e-03  1.9644066e-03
  1.2638664e-03  2.3008194e-03  1.7030279e-03  1.5335445e-03
 -1.2195333e-03  5.1940174e-04  4.4561634e-04 -1.9220219e-03
 -6.6583110e-03  1.4361074e-03 -2.6905239e-03 -1.1918859e-03
  2.8107315e-03 -3.5785190e-03 -4.0030098e-03  1.8309448e-03
 -2.7724789e-03 -1.2328655e-03  3.2236620e-03  1.6524196e-03
  3.7431098e-03 -1.9850326e-03 -3.5201937e-03  1.0312262e-03
 -1.6376445e-03  3.1964064e-03  3.7876442e-03  3.0046664e-03
 -5.7784528e-03  3.7947050e-03 -5.9801666e-03  1.5836491e-03
  3.1560347e-03 -1.1826853e-03  6.1434964e-03 -8.9635915e-04
 -7.3109848e-05  4.6582711e-03 -2.7838636e-03 -4.5762380e-04
 -2.7083822e-03 -2.1204408e-04  7.1121241e-05  1.6899698e-03]"
85,히트맨2,관객모독 수준의 저급함. 왜이렇게 악을 쓰냐. 이게 진짜 웃겨요?,2,2025.01.23. 14:25,38,"[-2.57796235e-03  1.32368848e-04 -2.44707870e-03 -1.70664384e-03
  1.85000565e-04 -1.42922997e-03 -2.70964607e-04  4.07079048e-03
 -2.83087743e-03 -1.98545423e-03 -1.21769728e-03 -2.35753396e-04
 -7.38086004e-04  1.26340892e-03  1.25286309e-03 -1.77821575e-03
  4.52075037e-05 -3.87096894e-03 -3.20532289e-03 -8.48285737e-04
 -1.93341833e-03  9.19825223e-04  6.84585073e-04  1.36508921e-03
 -2.74885562e-04 -5.89078845e-05  1.94737891e-04 -4.08846466e-03
  7.88502628e-04  1.08402036e-03  6.69792178e-04  1.11842097e-03
  1.60548021e-03 -2.69968435e-03  2.81117565e-04  3.09121585e-03
  2.23086961e-03 -2.51728250e-03  2.76277447e-03  3.72069742e-04
  7.60266674e-04 -2.34396895e-03  1.54539477e-03  7.22725119e-04
  2.30862084e-03 -1.13289175e-03  8.09826306e-05  2.33456260e-04
  5.62908943e-04 -1.44969509e-03  2.27356120e-03  1.39742368e-03
 -1.86486263e-03 -3.49582918e-03 -7.93691725e-04  2.29145586e-03
  5.50353434e-04  2.54372391e-03  2.79532885e-03 -4.35764727e-04
  3.28792288e-04  1.03338170e-05 -7.59522663e-06  7.81263341e-04
 -4.92813066e-04  1.50645617e-03 -9.93695576e-04  1.58808019e-03
 -1.83182221e-03  8.12197104e-04 -5.67927142e-04  5.29994140e-04
 -5.55869134e-04  1.17951352e-03  2.90175248e-03 -8.07480887e-04
 -1.40323723e-03  2.66623497e-03 -1.23611675e-03  2.13531801e-03
 -1.65599352e-03  7.69038452e-04  2.01917998e-03  3.81809979e-04
 -9.46160289e-04  9.03158565e-04  2.07673889e-04  9.85804945e-04
  2.36642011e-03  3.32196418e-04 -3.85331106e-04 -1.20001286e-03
  5.37193613e-04  1.14824215e-05  3.63893108e-03 -1.63695938e-03
  6.03433815e-04 -5.21548558e-03 -9.77273099e-04 -1.97407417e-03]"
86,히트맨2,재미있게 보고왔어요.,10,2025.01.23. 11:06,35,"[-5.4668123e-04  4.8558475e-03  3.3985833e-03 -4.8967829e-04
  2.3472079e-03 -4.6535097e-03  4.1671381e-03  4.7058226e-03
  5.0482140e-03 -3.3872400e-03  2.7058562e-03 -2.3714385e-03
  3.4105673e-03 -3.5292404e-03  1.6564800e-03 -3.3509247e-03
  4.0652896e-03 -2.5973576e-03 -2.3126679e-03 -2.4605598e-04
  6.8755546e-03 -2.9109831e-03  8.4556825e-04  5.3524454e-03
 -4.9942867e-03  3.2269474e-04  3.0262526e-03 -7.0017995e-05
 -1.5195048e-03 -1.0102483e-03  6.1289258e-03 -8.9195074e-04
  4.5222635e-04 -3.1692104e-03 -1.1808355e-04 -3.5517197e-04
  5.1766825e-03 -1.6373586e-03 -7.6408335e-03  4.1028280e-03
 -2.1398219e-03 -3.6838006e-03  4.0075076e-03 -6.9886638e-04
  3.6910612e-03 -1.0135049e-03  8.9030247e-05  8.7536941e-04
  7.8618526e-04 -9.0159796e-04  3.4864554e-03 -5.0747459e-04
 -3.8985608e-03  2.5332842e-03 -7.0613325e-03 -1.7862477e-03
  2.6908750e-03 -2.1646284e-03  9.9879876e-04 -1.5318576e-03
  4.7703735e-03  2.2534663e-03  4.3200427e-03  2.8410291e-03
 -3.8630317e-03 -1.1151875e-03 -8.7611763e-05  4.0920409e-03
 -1.9989510e-03 -4.4849780e-03  2.0521542e-03  6.3436292e-04
  2.9568875e-03  5.7850177e-03  2.7248245e-03 -1.8579246e-03
 -3.9962554e-04  7.5426959e-03 -4.4870060e-03 -1.9408249e-03
 -6.8845614e-03 -6.8452972e-04 -3.1794903e-03  2.5373200e-04
 -2.1157637e-03 -6.1622233e-04  5.1064431e-03  2.8389925e-04
  3.3611944e-04 -5.5518881e-03 -8.4575126e-04  2.1546048e-03
  1.2683630e-03  8.4437510e-05  1.0502777e-02  4.4652997e-03
  1.6295203e-03 -1.7539879e-03 -4.3993906e-04 -4.2573973e-03]"
87,히트맨2,애니메이션 퀄리티가 생각보다 괜찮고 조화롭게 편집된 오락영화. 개그 타율은 아쉬움,6,2025.01.22. 23:01,23,"[-1.2253016e-03 -1.6626422e-03  2.0675897e-03 -1.2227511e-03
 -5.7842227e-04 -2.4102898e-03 -1.5153121e-03  3.3117721e-03
  2.5575315e-03 -3.3087295e-04  1.5308338e-03 -1.3069061e-03
 -3.4016615e-04  7.7367423e-04  8.9028978e-04  2.7486691e-03
  1.5520940e-03 -2.2827494e-03  4.6284462e-05 -2.0835309e-03
  1.8380551e-03  1.9377866e-03  2.9167573e-03 -1.2501673e-03
  1.6690288e-03  1.3441051e-03  2.1384270e-03 -1.6345617e-03
 -1.1852144e-03 -7.4779266e-05  1.8931982e-03  1.0076020e-03
 -1.8625603e-04 -3.6411886e-03 -1.9813762e-03  2.4676146e-03
  1.8358792e-03 -4.1022925e-03 -8.6216221e-04 -9.8613207e-04
  1.4802407e-03 -2.8533451e-04 -1.1935886e-03 -4.4613640e-05
  1.6996330e-03 -9.3651499e-04  8.5427833e-05  6.8272417e-04
  1.0310649e-03 -1.5070457e-04  1.1066127e-03 -2.3541454e-04
 -5.5957818e-04  8.3077460e-04  9.6131454e-04  2.3287736e-04
  8.0597267e-04  4.3422944e-04  1.1285590e-03 -1.3451907e-03
  5.3627748e-04  2.0861945e-03  1.5889800e-03  1.4776924e-03
 -3.8087746e-04  1.0436843e-03  7.8956899e-04  2.0756596e-03
  1.7252170e-03  2.9630568e-03  1.6418629e-03  2.7576259e-03
 -1.7596695e-03  8.8262401e-05  1.6283940e-03 -1.9356492e-04
  3.5863132e-03 -2.0329463e-03 -1.7845290e-03  3.4024441e-04
 -7.5716880e-04 -1.7759451e-03  2.1482488e-04  1.5069410e-03
 -2.9950538e-03  1.0220441e-03 -2.4437476e-03 -7.0648821e-05
 -2.7442386e-04  2.1018104e-03  1.9485528e-03  1.8225722e-03
  5.9134647e-05 -1.2609847e-03  2.6542274e-03  1.9310616e-03
 -2.0487364e-03 -1.8454337e-03 -2.5565682e-03  3.2712799e-04]"
88,히트맨2,1편보다는 재미가 덜 하네요.,8,2025.01.22. 22:20,22,"[-2.0204810e-05 -3.0308112e-04  4.6598885e-04  9.6185674e-04
  5.6050211e-04 -1.1292193e-03  1.2484619e-03  1.7350701e-03
 -4.3428561e-05 -5.9763587e-04  1.3648878e-03 -1.4613653e-03
 -6.9812388e-04  3.2809256e-03 -3.7024822e-04 -2.6710997e-03
 -5.8184273e-04  7.5360370e-04 -2.0147453e-03 -3.7593427e-03
  1.3832194e-03 -1.7676622e-03  2.9717970e-03  3.2057730e-03
 -3.3927881e-03  2.1686265e-03  3.2358903e-03 -7.5790426e-04
 -3.9260844e-03 -1.3371119e-03  3.9239172e-03  1.0443443e-03
  6.9677440e-04 -2.6480365e-03  1.4929858e-03  1.3145957e-03
  2.6919672e-03 -8.8873674e-04 -4.3187761e-03 -2.2464716e-03
  9.9656195e-04 -4.6177036e-03 -3.1037689e-03  3.2670907e-04
  6.5937745e-03 -9.6566230e-04 -1.8008759e-03 -3.6046361e-03
  9.5468375e-04  1.2092354e-03  6.3207326e-04 -1.2065396e-03
 -1.2575781e-03 -3.9383187e-04 -3.5878746e-03 -6.9499982e-04
 -1.4494092e-03 -3.9529214e-03 -1.4046682e-03 -9.4720791e-04
  3.5316977e-03  5.9359818e-04  4.2809420e-03 -3.1503296e-05
 -3.4506295e-03  2.2444786e-03 -1.5821969e-04  3.2337517e-03
 -3.7978329e-03  2.4662109e-03  4.3876731e-04  1.7827885e-03
 -4.6701098e-04  1.7187737e-03  2.1693422e-03  1.4248707e-03
  2.0080032e-03  2.8833216e-03  1.6033049e-03  1.0669725e-03
 -3.0138255e-03 -5.4966779e-03  5.4958859e-04 -2.4416251e-05
 -3.3013888e-03 -1.3023580e-03  9.0882147e-04  6.8823516e-04
 -2.3503386e-04 -2.2259471e-03  1.1021735e-03 -6.9364777e-04
  1.1605916e-03  3.8085689e-04  2.4716016e-03 -1.6178775e-03
  2.0184435e-03 -3.2999464e-03 -1.9314778e-03  1.1182714e-03]"
89,히트맨2,1보고 너무 재밌어서 2나오자마자 보러 왔는데 역시나 재밌게 봤습니다!!!,10,2025.01.23. 11:21,35,"[-2.73773028e-03  4.11225157e-03 -1.16580725e-03  7.62163894e-04
 -5.97806240e-04 -3.61771276e-03  1.34196773e-03  5.05499262e-03
 -2.78213271e-03 -3.20717273e-03  2.24701158e-04 -2.56960420e-03
 -3.33294668e-03  2.21601850e-03 -1.31650653e-03  3.48321657e-04
  3.80144920e-03  8.11267062e-04 -1.96390436e-03 -6.36084704e-03
  2.26695859e-03  2.28758482e-03  3.92480148e-03 -1.05086225e-03
  2.95880833e-03  1.08012429e-03 -4.29053931e-03  1.87362006e-04
 -3.88582097e-03  8.93832126e-04  1.88626652e-03 -5.01298229e-04
  4.00186377e-03 -4.72451095e-03  8.23821101e-05  2.57833209e-03
  1.97194330e-03 -1.21104174e-04  1.43849803e-03 -3.10659665e-03
  2.32714199e-04 -1.71638583e-03 -3.70726991e-03 -4.87783720e-04
  2.01227493e-03  1.97518442e-04 -1.11837988e-03  4.00901743e-04
  4.02510818e-03  6.59049721e-04  6.57843018e-04 -1.16128265e-03
 -1.60801981e-03  2.18111346e-03  1.55584805e-03 -6.82455080e-04
  1.52271369e-03 -2.92875245e-03 -2.49930751e-03  1.95892528e-03
  3.77955032e-04  1.26865436e-03  1.75652953e-04 -3.12958029e-04
 -1.27199432e-03  2.74047861e-03  3.51241487e-03 -1.14858543e-04
 -1.64509367e-03  3.69683187e-03 -3.68044665e-03  5.79909713e-04
  7.58372131e-04 -7.67478137e-04  2.75898352e-03  9.15472978e-04
 -1.07958401e-03  2.69474316e-04  6.04349538e-04 -3.29092261e-03
 -9.55466588e-04  1.53786398e-03 -1.57130897e-04  2.88347621e-03
 -2.98598548e-03 -1.34853428e-04  2.20373366e-03  1.52179477e-04
 -1.30910630e-04  9.54528863e-04  2.31054658e-03  2.02552043e-03
  1.94449176e-03 -7.66496058e-04  5.14918054e-03  4.46314923e-04
 -8.22966918e-04 -1.65024749e-03 -5.55925712e-04  1.24319945e-03]"
92,히트맨2,어처구니 없는 개그만 좀 빼지....볼만하고 재미있었습니다 히트맨2 응원합니다~!!!,10,2025.01.22. 11:14,11,"[ 2.7350381e-03  6.3557300e-04  2.8190177e-03  1.1948746e-04
 -2.7919267e-03 -4.4272852e-04  2.4266898e-04  1.5868335e-03
 -1.1758755e-03 -8.3052425e-04  1.2600509e-03 -1.0263786e-03
  1.0745364e-03  2.8423686e-04 -9.1259187e-04 -4.0924796e-04
  1.4500479e-03 -3.0055682e-03  1.0110048e-03 -3.0861066e-03
 -1.1509126e-03 -7.0943253e-04  6.5094209e-04 -2.3089063e-03
 -4.5699973e-04  1.0324155e-03 -3.2466250e-03 -2.0349391e-03
 -7.5098756e-04  1.8448450e-03  9.2922919e-04  2.9928561e-03
  3.9926986e-03 -1.1967935e-03 -7.1157003e-04  2.4545745e-03
  1.4217824e-03 -2.3471529e-03 -2.0391918e-03 -2.6749114e-03
  1.2396090e-04 -3.9702617e-03 -1.8080421e-03  1.0851338e-03
 -2.4811367e-03 -1.3360805e-03 -9.1516366e-04 -1.4037185e-03
 -7.6845469e-04 -1.0192348e-04 -5.3233886e-04 -1.3943694e-03
 -2.1223971e-03  8.2837249e-04 -2.6652829e-03 -3.1007177e-04
 -1.2107128e-03 -7.6950202e-04 -2.0001810e-03  5.8838155e-04
  2.7729609e-05  1.0216443e-03  2.7538810e-03  1.4153468e-04
 -2.7763017e-03  8.3908369e-04  2.0024842e-03  1.9401246e-04
 -3.9183283e-03 -2.5074324e-04 -1.0524967e-03  4.6405429e-03
  7.5386715e-04  1.7910736e-03  3.0463757e-03  1.2071808e-03
  6.1123644e-04  1.2047773e-03 -1.1748270e-03  3.6861361e-03
  2.5164351e-04 -1.3101669e-03  4.2150897e-04  3.5760966e-03
 -2.7745790e-03  6.2082475e-04  1.0980623e-03  1.2538147e-03
  1.6615554e-03  1.4697639e-03  4.5154877e-03  1.9667197e-03
 -9.2058751e-04 -1.4287122e-03 -1.0298209e-03  9.4401563e-04
  1.4333788e-03 -5.3268223e-04  7.5742711e-05  5.8632425e-04]"
94,히트맨2,더도 말고 덜도 말고 딱 설날 킬링타임 히트,4,2025.01.23. 02:01,26,"[ 2.9825298e-03  4.1722623e-03 -2.1020352e-04 -1.6137776e-03
 -2.9589862e-04 -1.3557621e-03  2.6344983e-03  2.5165428e-03
 -2.2516986e-03 -1.0021613e-04 -1.9146393e-03 -6.7789125e-04
  1.1922619e-03  9.1762911e-04  2.7374830e-05 -3.4786379e-03
  2.6199948e-03 -2.8884439e-03 -1.1957141e-03 -6.1380160e-03
  1.9091906e-03  5.2705011e-04 -2.9223009e-03 -1.6407580e-03
 -1.0343806e-03 -2.5563720e-03 -4.7162257e-04 -2.9383989e-03
  2.4796396e-03  1.7947927e-03 -2.4167732e-03  7.9721576e-05
 -4.6842120e-04 -1.7991406e-03 -3.1652790e-04  6.2873522e-03
 -1.4948596e-03 -2.8309138e-03 -3.2258737e-03 -4.5759445e-03
 -2.9399355e-03 -1.0232819e-03  2.6556789e-03 -5.6601828e-04
  1.2783380e-03 -2.4289067e-03 -2.3897050e-03 -3.9783050e-03
  9.9079614e-04  5.7394413e-04  1.8925385e-03 -9.5081434e-04
  1.9660306e-03  3.2126356e-03  2.4176648e-04  1.3088968e-03
 -1.3959503e-03  5.0438624e-03 -3.1593165e-03 -2.0308828e-03
  3.7964301e-03  4.2525935e-05  1.1793720e-03 -6.2858970e-05
 -2.6583523e-03 -1.5730225e-04 -3.8789399e-04  3.0823043e-03
 -2.8294011e-03  7.4696596e-05  2.1312775e-03 -9.7485859e-04
  7.5678603e-04  1.6403520e-03  2.1173742e-03  9.6609606e-04
 -1.9850109e-03  4.3021329e-03 -1.6703890e-03 -1.3840621e-03
 -2.4229089e-04  3.7130953e-03 -4.2970995e-03  1.8340511e-03
 -1.5335779e-07  1.7525171e-03  1.3602140e-03 -2.4722202e-03
  5.3256177e-03 -1.5432006e-03  1.3861272e-03 -1.3745239e-03
 -8.7801303e-04  3.5839478e-04  7.8535918e-04  1.0572949e-03
  8.5290812e-04 -2.4632695e-03  1.1463711e-03 -3.1922475e-04]"
96,히트맨2,배우들 연기가 한명도 빠짐없이 좋았어요특히 이이경!시간가는 줄 모르고 봤습니다추천 추천,10,2025.01.22. 13:15,13,"[ 7.3375739e-04  2.0983920e-03  2.0170282e-03 -7.8727677e-04
  1.0356008e-03 -2.3590121e-03 -4.0179747e-04  2.6297823e-03
 -5.8867177e-04 -1.3646405e-03 -3.4197638e-04 -2.6481957e-03
  2.0740491e-03  1.9854149e-03  2.5175286e-03  4.8718243e-04
 -2.8595477e-04 -2.2470020e-03 -6.7154953e-04 -4.3674051e-03
  1.9419718e-03  1.7518554e-03  2.0522361e-03 -2.7678940e-03
 -9.7834377e-04  4.4033804e-04 -4.3819775e-04  1.7565597e-03
 -2.6046387e-03 -6.6373358e-04  1.6805900e-03  9.1352826e-04
  8.4965565e-04  4.7201256e-04 -2.7070486e-03  2.5571727e-03
  6.1086635e-04 -1.9164630e-03 -1.1080981e-03 -4.0509710e-03
  1.3571243e-03 -6.6138769e-04 -3.5083239e-04  7.1359787e-04
  1.6618065e-04 -5.8990328e-05 -9.9643436e-04  6.4135401e-04
  5.6332449e-04  1.8805942e-03 -1.9947856e-03 -2.7353175e-03
 -2.3531192e-03 -2.1033788e-03  2.2563611e-03  2.0834766e-03
  1.2612137e-03 -6.9745322e-04 -2.7880440e-03 -1.3280474e-03
  2.3025384e-03 -1.4477151e-03  8.5250085e-06  1.8023405e-03
 -5.6179950e-04  1.7500204e-03 -6.3824240e-04  1.8114640e-03
 -3.0808537e-03  3.4938126e-03 -7.5412513e-04  2.3919845e-03
  1.5623382e-03  5.8150594e-04 -6.7581265e-04 -3.1594365e-04
  1.6879244e-03 -2.6847899e-03 -2.0988581e-03 -2.6778693e-03
  9.4067020e-04 -1.1110893e-03 -4.4230931e-03  4.0189619e-03
  9.0261473e-04  1.3828629e-03  1.4644914e-03 -9.0015220e-04
  7.2684250e-04  1.1360390e-03  4.2511574e-03 -7.8372075e-04
 -2.6984802e-03  3.0237890e-03  7.5145694e-04  3.6982459e-03
 -8.7486597e-04 -8.3048700e-04  1.1589725e-04 -1.8229496e-03]"
97,히트맨2,요즘 영화 볼만한게없어서 히트맨 보러 다녀왔어요 ^^ 생각없이 웃으면서 보기 좋은 영화임,10,2025.01.22. 13:07,13,"[ 2.7329724e-03  1.5899120e-03  1.6533924e-03 -1.8903246e-04
  3.3458907e-04 -2.5728862e-03 -4.2103795e-05  3.1496796e-03
 -1.8319204e-03 -2.5826055e-04 -5.0206075e-04 -2.5157777e-03
  3.1911473e-05  3.2322909e-04  2.1994086e-03 -2.4969047e-03
  1.8453111e-03 -1.1226189e-03  6.4196065e-04 -4.0537198e-03
  8.2807872e-04  9.3887100e-04  3.6283626e-04 -2.0424866e-03
  1.6970237e-04 -1.1649351e-03 -1.9700155e-03  2.4943477e-03
  6.7155971e-04  2.4266238e-03  4.1280996e-06  1.3407262e-04
  1.8869623e-03 -2.8306928e-03 -9.5321098e-04  8.1488013e-04
  7.6914439e-04 -9.6300931e-04 -8.0448034e-04 -1.7927738e-03
 -4.0901644e-04 -1.7100160e-03 -1.7141597e-04  2.7224889e-03
  1.1779101e-03 -1.9875644e-03 -2.1550164e-03  7.6926296e-04
  5.3748390e-05  1.3979117e-03 -9.6640224e-04 -2.0720928e-03
 -2.1995704e-04 -2.9659823e-03 -1.9102598e-03  6.0331589e-04
 -1.7869811e-03  5.2694371e-04 -3.1757043e-04  1.3219242e-03
  6.5615057e-04  3.4050233e-04  9.3511707e-04  2.2206691e-04
 -2.0371249e-03  4.5106215e-03  2.0876657e-03  2.0050595e-03
 -4.6418156e-03  2.5144536e-03  3.2103778e-04  3.5986779e-03
  2.2829752e-03 -1.0533347e-03  2.0661619e-03  1.1311797e-03
  4.0224995e-03 -1.0115152e-03 -1.5883389e-03  6.3317007e-04
 -2.8405134e-03 -3.0352658e-04 -3.0186854e-03  2.8026572e-03
 -7.7274698e-04 -8.1925571e-04 -2.2689977e-05 -8.3146399e-05
  1.6150933e-03  1.7723837e-03  4.8267040e-03 -4.8342405e-04
 -9.6841226e-04 -4.3342155e-04  3.5656879e-03  3.7717237e-04
  1.5142683e-03 -6.7466940e-04  1.2185625e-03 -1.7432586e-03]"
